author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
ap news,Biden targets Boebert in her district in fresh political attack on Republicans...,President Joe Biden will try to turn congresswoman Lauren Boebert of Colorado into the embodiment of Republican opposition to his agenda as he visits her district. The Democratic president plans to tout aspects of his domestic agenda that Boebert and her fell…,https://apnews.com/article/joe-biden-boebert-colorado-republicans-0edd0c6f25fe17edd92f8c80b0488f89,https://dims.apnews.com/dims4/default/c701fae/2147483647/strip/true/crop/3824x2151+0+199/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fdd%2F9b%2F93ec2be325ac9f7e1aa56c1eac40%2Fe315de9e4a2f44de9ec298bdb4f3500f,2023-11-29T14:00:03Z,Biden targets GOP Rep. Boebert in her district in a fresh political attack on RepublicansDENVER (AP) — President Joe Biden will try to turn Rep. Lauren Boebert of Colorado into the embodiment of Repu… [+4332 chars],associated-press,Associated Press
ap news,US military Osprey aircraft with 6 aboard crashes off southern Japan...,A crew member who was recovered from the ocean after a U.S. military Osprey aircraft carrying six people crashed Wednesday off southern Japan has been pronounced dead. Japanese coast guard officials say the cause of the crash and the status of the five others…,https://apnews.com/article/japan-us-military-osprey-helicopter-crash-7d704ec5925826593aebcf0e7d1312ca,https://dims.apnews.com/dims4/default/7aeb191/2147483647/strip/true/crop/5000x2813+0+168/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F67%2F9a%2Fed61d082b3ee22110da60084b482%2F4d23fa912ad7441f8a6ac5debfe31883,2023-11-29T12:00:03Z,"US military Osprey aircraft with 6 aboard crashes off southern Japan, at least 1 deadTOKYO (AP) — A crew member who was recovered from the ocean after a U.S. military Osprey aircraft carrying six peo… [+3359 chars]",associated-press,Associated Press
By TIM REYNOLDS and SCHUYLER DIXON - AP Sports Writers,"Mark Cuban working on $3.5B sale of Dallas Mavericks to Sands casino family, AP source says",A person with knowledge of the talks says Dallas Mavericks owner Mark Cuban is working on a deal to sell a majority stake in the NBA franchise to the family that runs the Las Vegas Sands casino company. The agreement…,https://apnews.com/article/dallas-mavericks-mark-cuban-adelson-family-sale-28b58fc35f5c4159b5a4b61c749186b3,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/4/7f/47ff1157-9c21-5927-8173-12adcf2549f1/65672922bebaf.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-11-29T02:51:15Z,"By TIM REYNOLDS and SCHUYLER DIXON - AP Sports Writers
Dallas Mavericks owner Mark Cuban is working on a deal to sell a majority stake in the NBA franchise to the family that runs the Las Vegas Sand… [+4039 chars]",associated-press,Associated Press
Paul J. Weber,Texas women who could not get abortions despite health risks take challenge to state's Supreme Court,"The Texas Supreme Court is deciding whether the state's abortion ban is too restrictive for women with pregnancy complications. The all-Republican court on Tuesday scrutinized efforts to clarify exceptions to the ban, which a growing number of women say force…",https://apnews.com/article/abortion-texas-exceptions-lawsuit-82611bda29112775247d8e7adbc0a81b,https://dims.apnews.com/dims4/default/9ed965d/2147483647/strip/true/crop/1600x900+0+84/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F7f%2Fa1%2F7d57d1ce91fce1f2a0f674417cd6%2F2e4121ecdb624c42aa052500dfd094ca,2023-11-28T20:42:07Z,"AUSTIN, Texas (AP) The Texas Supreme Court on Tuesday scrutinized efforts to clarify exceptions to the states abortion ban, which a growing number of women say forced them to continue pregnancies des… [+2787 chars]",associated-press,Associated Press
By LISA RATHKE and HOLLY RAMER Associated Press,3 young Palestinian men were shot in Vermont. Their families thought the US would be safer,"Far away from the war in Gaza, three college students were enjoying another visit to Vermont, celebrating Thanksgiving and a pair of family birthdays. But the place their Palestinian families thought would be safe was anything but. The 20-year-olds were…",https://apnews.com/article/shooting-burlington-vermont-palestinian-students-suspect-dd781a57f5d96cf591a1840db890b4ed,https://bloximages.chicago2.vip.townnews.com/thesunchronicle.com/content/tncms/assets/v3/editorial/5/dc/5dc75a44-cef5-5e4b-a31c-f59debbcf0d0/6566095ac00db.image.jpg?crop=1762%2C925%2C0%2C125&resize=1200%2C630&order=crop%2Cresize,2023-11-28T20:03:00Z,"BURLINGTON, Vt. (AP) Far away from the war in Gaza, three students were enjoying another visit to Vermont, celebrating Thanksgiving and a pair of family birthdays. But the place their Palestinian fam… [+6283 chars]",associated-press,Associated Press
AP,“Authentic” Is Merriam-Webster’s Word Of The Year 2023,Merriam-Webster's word of the year for 2023 is “authentic.” Editor at large Peter Sokolowski told The Associated Press ahead of Monday's announcement that lookups for the word rose to new heights on the company’s website throughout the year. There are many re…,https://apnews.com/article/merriam-webster-word-of-year-2023-a9fea610cb32ed913bc15533acab71cc,https://dims.apnews.com/dims4/default/d7f757b/2147483647/strip/true/crop/4172x2347+0+246/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fa5%2Fdd%2Ffa8743f1a63f487b855c2c15132d%2F45e28337293249bd9d8ea0829052f38b,2023-11-28T13:31:09Z,"NEW YORK (AP) In an age of deepfakes and post-truth, as artificial intelligence rose and Elon Musk turned Twitter into X, the Merriam-Webster word of the year for 2023 is authentic. 
Authentic cuisi… [+6129 chars]",associated-press,Associated Press
"ANITA SNOW, THOMAS MACHOWICZ",Tensions at Arizona farms as foreign firms exploit water...,Worries about future water supplies from ancient aquifers are bubbling up in western rural Arizona. Some neighbors complain that their backyard wells have dried up since an Emirati agribusiness began farming alfalfa nearby. One farmer worries that state offic…,https://apnews.com/article/climate-uae-alfalfa-water-arizona-drought-d911d5219c8f41dc44d65fb2af6b04df,https://dims.apnews.com/dims4/default/c0c07b5/2147483647/strip/true/crop/5173x2910+0+269/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F37%2F39%2F05f6920d623fda973b947f7a5506%2F8735d652e5b84cba890206343d160861,2023-11-28T12:52:37Z,"WENDEN, Ariz. (AP) A blanket of bright green alfalfa spreads across western Arizonas McMullen Valley, ringed by rolling mountains and warmed by the hot desert sun. 
Matthew Hancocks family has used … [+9572 chars]",associated-press,Associated Press
AP,"France to ban smoking on beaches at it seeks to avoid 75,000 tobacco-related deaths per year","France's government plans to ban smoking on all beaches, in public parks, forests and some other public areas. The measures are part of a national anti-tobacco plan presented by the health minister on Tuesday. The minister says tobacco products cause…",https://apnews.com/article/france-smoking-ban-tobacco-health-8d64f3e1fe5110554a57c0aea0e17eca,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/8/c6/8c64f1a7-bd4e-54bd-9440-0b9648c0c548/6565d804cbd93.image.jpg?crop=1719%2C902%2C0%2C151&resize=1200%2C630&order=crop%2Cresize,2023-11-28T11:37:53Z,"PARIS (AP) France will ban smoking on all beaches, in public parks, forests and some other public areas as part of a national anti-tobacco plan presented by the health minister on Tuesday.
Tobacco p… [+929 chars]",associated-press,Associated Press
By TIA GOLDENBERG - Associated Press,Freed Israeli hostage describes deteriorating conditions while being held by Hamas,An Israeli hostage freed by Hamas has said in an interview that she was initially fed well in captivity until conditions worsened and captives became hungry. She was kept in a “suffocating” room and slept on plastic chairs with a…,https://apnews.com/article/hostage-gaza-freed-israel-captive-408f65fcc1b8f016f3735cd5022163eb,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/8/21/82179c7f-c012-5c17-aeef-fe1f211d2e6c/656242e280464.image.jpg?crop=1600%2C840%2C0%2C112&resize=1200%2C630&order=crop%2Cresize,2023-11-28T10:59:55Z,"By TIA GOLDENBERG - Associated Press
TEL AVIV, Israel (AP) An Israeli hostage freed by Hamas said in an interview that she was initially fed well in captivity until conditions worsened and people be… [+6077 chars]",associated-press,Associated Press
By JON GAMBRELL - Associated Press,"As Dubai prepares for COP28, some world leaders signal they won't attend climate talks",Dubai is preparing to host the COP28 climate talks as world leaders including U.S. President Joe Biden have signaled they will not be attending the negotiations. The talks come during the ongoing Israel-Hamas war roiling the wider Middle East. Workers…,https://apnews.com/article/cop28-climate-talks-syria-us-israel-preparations-e61c838fd200c258d6f238e5d9fbbdf1,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/9/b8/9b8ba7ae-8384-5eff-a988-f2c6878283dd/6565d6728ee83.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2023-11-28T10:55:03Z,"By JON GAMBRELL - Associated Press
DUBAI, United Arab Emirates (AP) Dubai prepared to host the COP28 climate talks Tuesday as world leaders including U.S. President Joe Biden signaled they would not… [+3417 chars]",associated-press,Associated Press
