author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Nick Romano,Timothée Chalamet's 'Wonka' teacup was actually edible,"Unlike original Willy Wonka, Gene Wilder, who had to bite into a wax teacup, the 'Wonka' director and chocolatier made an edible cup for Timothée Chalamet to chomp into — but doing so was a bit of a challenge.",https://ew.com/timothee-chalamet-wonka-teacup-edible-8407337,https://ew.com/thmb/khfaAzsfQJay-aswCE4BB7lY-lk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Will-Wonka-112723-02e29de07cab428b8c536c1e87bd0edf.jpg,2023-11-30T17:55:26Z,"One of the most famous scenes from 1971's Willy Wonka and the Chocolate Factory is its star, Gene Wilder, biting into a yellow candy teacup at the end of ""Pure Imagination."" Too bad the now-famous st… [+3369 chars]",entertainment-weekly,Entertainment Weekly
Sydney Bucksbaum,'Squid Game: The Challenge' player says condoms were used as chapstick,'Squid Game: The Challenge' Player 301/Trey tells EW that contestants were forced to use lubricated condoms as chapstick in the dorms until producers gave them real lip balm tins.,https://ew.com/squid-game-the-challenge-player-confirms-condoms-were-used-as-chapstick-8408100,https://ew.com/thmb/oenhHfihqfSMbnCUSlXe6eWSjBw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/squid-game-the-challenge-111723-3-8b2b475053d64e26bf247c7b4b350501.jpg,2023-11-30T15:00:00Z,"Warning: This article contains spoilers for Squid Game: The Challenge episodes 1-9.
This might actually be more shocking than anything shown onscreen on Squid Game: The Challenge, but players were s… [+2702 chars]",entertainment-weekly,Entertainment Weekly
Wesley Stenzel,Watch trailer for Chad Michael Murray's new Christmas movie,"Chad Michael Murray is trading 'One Tree Hill' for a windmill in 'Christmas on Windmill Way,' a new holiday romance movie on Great American Family. Watch the exclusive trailer.",https://ew.com/chad-michael-murray-new-christmas-movie-trailer-8407234,https://ew.com/thmb/IsOmcQLRvm-kv0B0K296XtFajM0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chad-Michael-Murray11272306-50aa921b90d6479885e97949563888c2.jpg,2023-11-30T14:00:00Z,"Chad Michael Murray is moving from One Tree Hill to Windmill Way.
In the new movie Christmas on Windmill Way on Great American Family, the actor behind the beloved teen drama's Lucas Scott gets in t… [+1482 chars]",entertainment-weekly,Entertainment Weekly
Wesley Stenzel,Get ready for a 'Sex and the City'-inspired reality dating show,"Candace Bushnell, the real-life Carrie Bradshaw and author of 'Sex and the City,' is developing a new reality dating show titled 'Is There Still Sex in the City?'",https://ew.com/sex-and-the-city-inspired-reality-dating-show-candace-bushnell-8408310,https://ew.com/thmb/-ufqrX0W70Lu-NNv7FSaoSvCMUk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Sarah-Jessica-Parker-sex-in-the-city-112923-743137754dcd48ac8f596925cba35734.jpg,2023-11-29T23:53:20Z,"And just like that a new Sex and the City-inspired reality series is in the works.
Candace Bushnell, the author of the book that served as the basis for the hit HBO show, is working with Bunim/Murra… [+2063 chars]",entertainment-weekly,Entertainment Weekly
Shania Russell,Frances Sternhagen dead: The Sex and the City actress was 93,"Frances Sternhagen, the two-time Tony Award winner and 'Sex and the City' actress dies on Monday, Nov. 27. She was 93.",https://ew.com/frances-sternhagen-dead-tony-winner-sex-and-the-city-actress-93-8408118,https://ew.com/thmb/N_1YeFE-EDqVk0H19DbkdsK3ABI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/FrancesSternhagen11292301-d3f2b65e2cee4bd6ad79bc23cbb0cb5e.JPG,2023-11-29T20:42:10Z,"Frances Sternhagen, the two-time Tony Award winner known for roles in hit TV shows including Sex and the City, has died at age 93.
Her son, John Carlin, confirmed the news on Wednesday with a touchi… [+3072 chars]",entertainment-weekly,Entertainment Weekly
Shania Russell,Shannen Doherty reveals cancer has spread to her bones,"Shannen Doherty remains hopeful, despite her stage 4 breast cancer spreading to her bones: 'I'm not done with living. I’m not done with loving. I’m not done with creating.'",https://ew.com/shannen-doherty-reveals-cancer-spread-to-her-bones-8408002,https://ew.com/thmb/5UrgETdE92ODQ4PJ_MzJsXaUrFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Shannen-Doherty-01-060723-8e6f1b7576ff4a6c9113f135e5a76f29.jpg,2023-11-29T18:46:05Z,"Shannen Doherty wont let cancer stop her from living life on her own terms.
The Beverly Hills, 90210 star recently revealed that although her stage 4 breast cancer has spread to her bones, she is de… [+2395 chars]",entertainment-weekly,Entertainment Weekly
Lauren Huff,Rita Moreno combats loneliness by making supermarket friends,"Rita Moreno is sharing how she realized she was lonely in her 90s, and how she did something about it by making random friends at the grocery store.",https://ew.com/rita-moreno-combats-loneliness-by-making-supermarket-friends-8407742,https://ew.com/thmb/XVXm4asrEYedakmuFeGFHGNjXIw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Rita-Moreno-red-carpet-tout-112823-8f507431b05447cd85d63b9e50cff57b.jpg,2023-11-29T01:46:26Z,"Rita Moreno doesn't want to be all by herself, at least not all the time.
The EGOT-winning actress and singer recently spoke with PEOPLE about realizing in her 90s that she was lonely and the surpri… [+2068 chars]",entertainment-weekly,Entertainment Weekly
Lester Fabian Brathwaite,Beyoncé's mom responds to critics saying her daughter wants to be white,Beyoncé's mom responds to 'bozos' saying her daughter wants to be white for wearing platinum hair: 'I know that she is going to be pissed at me for doing this.',https://ew.com/beyonce-mom-calls-out-bozos-racist-comments-wants-to-be-white-platinum-hair-8407727,https://ew.com/thmb/jA6m_esrWWRJI65MbM5jSuO0P8Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/BEYONCE_PREMIERE_112823-tout-b34f0a50192a4137aa530b28a0089ddc.jpg,2023-11-29T00:48:58Z,"Tina Knowles Lawson is fed up.
The mother of Solange and Beyoncé went into Pissed Off Mom Mode on Instagram after seeing posts attacking her eldest daughter and her latest slay, a platinum wave casc… [+2069 chars]",entertainment-weekly,Entertainment Weekly
Shania Russell,Keith Morrison breaks silence on stepson Matthew Perry's death,"One month after Matthew Perry's untimely death, his stepfather Keith Morrison is encouraging fans to donate to the late actor's foundation: 'Do what you can, he would have been grateful.'",https://ew.com/keith-morrison-breaks-silence-stepson-matthew-perry-death-8407490,https://ew.com/thmb/R_sLT7fTE2WPA7on0n6BSq2rCfU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Matthew-Perry-Keith-Morrison-112823-0e49ea4dd69e4a91914306648701b750.jpg,2023-11-28T20:53:20Z,"Keith Morrison is remembering his late stepson Matthew Perry with a call to action for Giving Tuesday.
A month after the Friends star's untimely death at 54, Morrison broke his silence on the loss b… [+2267 chars]",entertainment-weekly,Entertainment Weekly
Lauren Huff,Debi Mazar joins friend Madonna on stage at Celebration Tour,Madonna's longtime friend Debi Mazar joined the iconic pop star on stage during her Italy concert: 'It was like old times!!',https://ew.com/debi-mazar-joins-madonna-on-stage-8407200,https://ew.com/thmb/gQ5ybxf1en0nnz1Zk9UxARY9wQs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Debi-Mazar-and-Madonna-112723-ccfe10a57229483987380b04515041b0.jpg,2023-11-28T01:15:18Z,"Debi Mazar is getting to take a bow after joining her longtime friend Madonna on stage at the Queen of Pop's Celebration Tour stop in Milan over the weekend.
Mazar paid homage to the experience and … [+1667 chars]",entertainment-weekly,Entertainment Weekly
